id,filename,artist,title,year
313,00313.jpeg,Giacometti,Walking Man I,1960
314,00314.jpeg,Sean Landers,Career Ego,1999
315,00315.jpeg,Sergej Jensen,Untitled ,2001
316,00316.jpeg,Eberhard Havekost,Untitled ,2000
317,00317.jpeg,Ian Davenport,Poured Painting,1999
318,00318.jpeg,Louise Lawler,War Is Terror,2003
319,00319.jpeg,Bruce Nauman,"Life, Death, Love, Hate, Pleasure, Pain",1983
320,00320.jpeg,Keith Haring,Polaroid Self Portrait Wearing Glasses Painted By Kenny Scharf,1980
321,00321.jpeg,Keith Haring,Polaroid Self Portrait Wearing Glasses Painted By Kenny Scharf,1980
322,00322.jpeg,Keith Haring,Polaroid Self Portrait Wearing Glasses Painted By Kenny Scharf,1980
323,00323.jpeg,Keith Haring,Polaroid Self Portrait Wearing Glasses Painted By Kenny Scharf,1980
324,00324.jpeg,Mark Rothko,No. 14,1960
325,00325.jpeg,Mark Rothko,Untitled,1952
326,00326.jpeg,Mark Rothko,Untitled,1955
327,00327.jpeg,Mark Rothko,Untitled,1961
328,00328.jpeg,Mark Rothko,No. 1 (White And Red),1961
329,00329.jpeg,Mark Rothko,Blue And Grey,1962
330,00330.jpeg,Milton Glaser,Henry Kressing - The Cook,1965
331,00331.jpeg,Milton Glaser,"Zimm'S Palette, My Fingers",1966
332,00332.jpeg,Milton Glaser,Aiga Sketch,1977
333,00333.jpeg,Milton Glaser,Study Of Elliot Gould,1970
334,00334.jpeg,Milton Glaser,Study Of Elliot Gould,1970
335,00335.jpeg,Joseph Albers,Homage To The Square: On An Early Sky,1964
336,00336.jpeg,František Kupka,Pimp,1910
337,00337.jpeg,František Kupka,"Girl With A Ball, Andrée",1908
338,00338.jpeg,František Kupka,"Study For Amorpha, Fugue In Two Colors Ii",1911
339,00339.jpeg,František Kupka,"Study For Amorpha, Fugue In Two Colors",1911
340,00340.jpeg,František Kupka,Yellow Scale I,1907
341,00341.jpeg,František Kupka,Four Stories In Black And White,1926
342,00342.jpeg,František Kupka,Lipstick I,1908
343,00343.jpeg,František Kupka,Lipstick II,1908
344,00344.jpeg,František Kupka,Vertical Planes I,1912
345,00345.jpeg,František Kupka,Animated Lines I,1933
346,00346.jpeg,František Kupka,Form Of Orange,1923
347,00347.jpeg,Zaha Hadid,Berlin 2000,1998
348,00348.jpeg,Zaha Hadid,Vitra Fire Station,1994
349,00349.jpeg,Zaha Hadid,Zollhof 3 Media Park,1993
350,00350.jpeg,Zaha Hadid,Tea And Coffee Set,1996
351,00351.jpeg,Zaha Hadid,Tide,2010
352,00352.jpeg,Zaha Hadid,Genesy Lamp,2009
353,00353.jpeg,Zaha Hadid,Z Chair,2011
354,00354.jpeg,Urs Fischer,What If The Phone Rings,2003
355,00355.jpeg,Urs Fischer,Untitled,2011
356,00356.jpeg,Urs Fischer,Eckwurst,1997
357,00357.jpeg,Urs Fischer,Horses Dream Of Horses,2004
358,00358.jpeg,Urs Fischer,You Can Not Win,2003
359,00359.jpeg,Urs Fischer,You Can Only Lose,2003
360,00360.jpeg,Urs Fischer,Hudson,1995
361,00361.jpeg,Urs Fischer,Nail Solo,2012
362,00362.jpeg,Urs Fischer,Chagall,2006
363,00363.jpeg,Urs Fischer,Am & Pm,2001
364,00364.jpeg,Urs Fischer,Untitled (Holes),2006
365,00365.jpeg,Urs Fischer,Necrophonia,2011
366,00366.jpeg,Urs Fischer,Untitled (Candle),1999
367,00367.jpeg,Urs Fischer,Sodbrennen,2004
368,00368.jpeg,Urs Fischer,The Thing,2003
369,00369.jpeg,Urs Fischer,Stripper,2009
370,00370.jpeg,Urs Fischer,Figure Skater,2009
371,00371.jpeg,Halu Arakçe,Untitled,2001
372,00372.jpeg,Peter Bonde,Untitled,2002
373,00373.jpeg,Merlin Carpenter,Doppelgänger,1999
374,00374.jpeg,Merlin Carpenter,"Girl, Broken",2001
375,00375.jpeg,Markus Döbeli,Untitled,1999
376,00376.jpeg,Markus Döbeli,Untitled,2000
377,00377.jpeg,Katharina Grosse,Untitled,1998
378,00378.jpeg,Manuel Ocampo,Artist Examining Life Closely,1998
379,00379.jpeg,Manuel Ocampo,The Failure To Express Its Expression,2000
380,00380.jpeg,Manuel Ocampo,The Holocausts Spackle In The Murals Of The Quixotic Inseminators,2000
381,00381.jpeg,Federico Herrero,Carefully Repainted Yellow Areas,2001
382,00382.jpeg,Gary Hume,Large Angel Head,1999
383,00383.jpeg,Yishai Jusidman,B. E.,2001
384,00384.jpeg,Žiga Kariž,Teror-Dekor 5,1998
385,00385.jpeg,Žiga Kariž,The Grey City 2,1997
386,00386.jpeg,Michelangelo,Angel With Candlestick,1494
387,00387.jpeg,Michelangelo,Bacchus,1497
388,00388.jpeg,Michelangelo,Bacchus,1497
389,00389.jpeg,Michelangelo,The Rome Pietà,1499
390,00390.jpeg,Michelangelo,Saint Pius,1504
391,00391.jpeg,Michelangelo,Bruges Madonna,1504
392,00392.jpeg,Michelangelo,Moses,1516
393,00393.jpeg,Michelangelo,Rebellious And Dying Slaves,1516
394,00394.jpeg,Michelangelo,The Victory,1530
395,00395.jpeg,Michelangelo,Battle Of Cascina,1504
396,00396.jpeg,Michelangelo,Libyan Sybil,1510
397,00397.jpeg,Michelangelo,Medici Palace Window,1517
398,00398.jpeg,Caravaggio,The Cardsharps,1595
399,00399.jpeg,Caravaggio,The Cardsharps,1595
400,00400.jpeg,Caravaggio,Judith With The Head Of Holofernes,1566
401,00401.jpeg,Paolo Veronese,Vision Of St. Helen,1580
