id,filename,artist,title,year
942,00942.jpeg,Hiroshige,Landscape With The Whirlpools,1857
943,00943.jpeg,Hokusai,Amida Waterfall On The Kiso Highway,1800
944,00944.jpeg,Hiroshige,Sudden Shower Over Ohashi,1856
945,00945.jpeg,Unknown,Tathagata Akshobhya,1500
946,00946.jpeg,Joan Miró,La Pomme De Terre,1928
947,00947.jpeg,Jean Arp,Tête,1929
948,00948.jpeg,Sachiko Kuru,Pirates,1981
949,00949.jpeg,Sachiko Kuru,Pirates,1981
950,00950.jpeg,Hans Feurer,"Gloves, Skirts, Quilted Big Coats",1983
951,00951.jpeg,Hans Feurer,"Gloves, Skirts, Quilted Big Coats",1983
952,00952.jpeg,Katerina Jebb,Modern Sweetness,1991
953,00953.jpeg,Katerina Jebb,Inside Decoration,2011
954,00954.jpeg,Simon Bening,Flemish Calendar,1545
955,00955.jpeg,Simon Bening,Flemish Calendar,1545
956,00956.jpeg,Jean Pierre Lyonette,"Illustration In ""Metal Hurlant""",1978
957,00957.jpeg,André Thijssen,L'Homme Machine,1978
958,00958.jpeg,Tony Mcsweeney,Souvenirs Of California,1978
959,00959.jpeg,George Hardie,Poster To Promote A Color Service,1978
960,00960.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Maggie'S Party (Yohji Yamamoto Campaign),1998
961,00961.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Captured Moon (Yohji Yamamoto Campaign),1998
962,00962.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Final Fantasy – Wendy,2003
963,00963.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Thank You Thighmaster – Joan,1993
964,00964.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Cathal – Arena Homme Plus,1997
965,00965.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Me #2,1997
966,00966.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Chloë Sevigny,1996
967,00967.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Don'T Kill (Autograph),2005
968,00968.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Exclamation Mark,2005
969,00969.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Stella Tennant – Self Service,2010
970,00970.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Sasja 90 – 60 – 90,1992
971,00971.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Trash,2003
972,00972.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Maggie Rizer In Yves Saint Laurent,1997
973,00973.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Jessica Miller In Bridgehampton,2009
974,00974.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Me #11,1998
975,00975.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",B Dreaming,2004
976,00976.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Lick (Joanna) ,1992
977,00977.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Hilary Rhoda,2006
978,00978.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Ronald'S Dress,1990
979,00979.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Ed Ruscha,2008
980,00980.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",The Easter Skull,2005
981,00981.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Bart Gorter – Blvd,1994
982,00982.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Self Service,2008
983,00983.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Chloé Campaign,2006
984,00984.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Lifting,1996
985,00985.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Pleace: Rider,2005
986,00986.jpeg,"Inez Van Lamsweerde, Vinoodh Matadin",Guinevre Descending A Staircase,2005
987,00987.jpeg,Kaija And Heikki Siren,Otaniemi Chapel,1957
988,00988.jpeg,Kaija And Heikki Siren,Otaniemi Chapel,1957
989,00989.jpeg,Alexander Calder,Myxomatose,1953
990,00990.jpeg,Franz Weissmann,Dois Cubos Lineares Virtuais (Estrurura Linear),1954
991,00991.jpeg,Alexander Calder,Red Horse,1926
992,00992.jpeg,Alexander Calder,Galloping Horse,1926
993,00993.jpeg,Alexander Calder,Dog,1931
994,00994.jpeg,Alexander Calder,Leopard,1927
995,00995.jpeg,Alexander Calder,Big Black Disc,1931
996,00996.jpeg,Alexander Calder,Pantograph,1931
997,00997.jpeg,Alexander Calder,Two Spheres,1931
998,00998.jpeg,Alexander Calder,Machine Motoriseé,1933
999,00999.jpeg,Alexander Calder,The Spider,1937
1000,01000.jpeg,Alexander Calder,Little Blue Panel,1934
